Date,Nationality,Pending further review,Pending initial decision (6 months or less),Pending initial decision (more than 6 months)
2016-12-31,Egypt,46,270,119
2016-12-31,El Salvador,18,44,10
2016-12-31,Eritrea,162,656,694
2016-12-31,Ethiopia,43,195,128
2016-12-31,"Gambia, The",34,89,74
2016-12-31,Georgia,10,22,32
2016-12-31,Germany,1,,
2016-12-31,Ghana,27,135,69
2016-12-31,Greece,3,1,
2016-12-31,Grenada,3,11,3
2016-12-31,Guinea,5,17,19
2016-12-31,Guinea-Bissau,1,,
2016-12-31,Guyana,4,2,1
2016-12-31,Honduras,1,2,1
2016-12-31,India,120,820,205
2016-12-31,Indonesia,10,3,1
2016-12-31,Iran,364,1695,833
2016-12-31,Iraq,263,1521,952
2016-12-31,Israel,2,12,2
2016-12-31,Italy,1,,1
2016-12-31,Ivory Coast,9,23,29
2016-12-31,Jamaica,28,101,53
2016-12-31,Jordan,10,32,16
2016-12-31,Kazakhstan,4,2,4
2016-12-31,Kenya,22,48,57
2016-12-31,Korea (North),4,5,17
2016-12-31,Korea (South),4,4,2
2016-12-31,Kosovo,11,16,13
2016-12-31,Kuwait,8,68,46
2016-12-31,Latvia,1,,
2016-12-31,Lebanon,30,57,33
2016-12-31,Liberia,2,3,3
2016-12-31,Libya,148,297,278
2016-12-31,Lithuania,1,2,4
2016-12-31,Macedonia,1,1,1
2016-12-31,Malawi,17,39,51
2016-12-31,Malaysia,6,32,16
2016-12-31,Mali,2,4,3
2016-12-31,Mauritius,19,35,9
2016-12-31,Mexico,7,6,8
2016-12-31,Mongolia,5,8,10
2016-12-31,Morocco,13,54,23
2016-12-31,Namibia,3,22,14
2016-12-31,Nepal,11,87,23
2016-12-31,Nigeria,324,740,656
2016-12-31,Occupied Palestinian Territories,31,45,72
2016-12-31,Other and unknown,2,13,9
2016-12-31,Pakistan,597,1446,871
2016-12-31,Philippines,5,32,22
2016-12-31,Poland,1,1,4
2016-12-31,Refugee,12,8,11
2016-12-31,Romania,3,2,1
2016-12-31,Russia,15,86,45
2016-12-31,Rwanda,3,9,10
2016-12-31,Saudi Arabia,1,19,26
2016-12-31,Senegal,4,19,20
2016-12-31,Serbia,1,1,1
2016-12-31,Sierra Leone,29,20,38
2016-12-31,Singapore,1,11,2
2016-12-31,Somalia,81,195,129
2016-12-31,South Africa,19,23,26
2016-12-31,Spain,1,,
2016-12-31,Sri Lanka,567,541,609
2016-12-31,St. Lucia,5,8,3
2016-12-31,Stateless,34,321,180
2016-12-31,Sudan,40,846,177
2016-12-31,Syria,41,548,421
2016-12-31,Tanzania,2,14,14
2016-12-31,Thailand,2,12,17
2016-12-31,Togo,2,1,2
2016-12-31,Trinidad and Tobago,8,14,3
2016-12-31,Tunisia,5,24,11
2016-12-31,Turkey,54,258,170
2016-12-31,Uganda,35,73,69
2016-12-31,Ukraine,16,48,32
2016-12-31,United States,3,14,17
2016-12-31,Uzbekistan,3,9,15
2016-12-31,Venezuela,5,20,1
2016-12-31,Vietnam,60,407,354
2016-12-31,Yemen,3,55,19
2016-12-31,Zambia,4,9,16
2016-12-31,Zimbabwe,138,129,94
2016-12-31,Australia,,3,1
2016-12-31,Barbados,,1,6
2016-12-31,Belarus,,13,7
2016-12-31,Benin,,6,3
2016-12-31,Bermuda (British),,1,
2016-12-31,Burkina,,6,2
2016-12-31,Canada,,9,3
2016-12-31,Comoros,,5,
2016-12-31,Cuba,,1,2
2016-12-31,Czech Republic,,1,
2016-12-31,Dominica,,2,1
2016-12-31,Ecuador,,1,
2016-12-31,Equatorial Guinea,,1,1
2016-12-31,Gabon,,1,
2016-12-31,Guatemala,,6,3
2016-12-31,Hong Kong,,1,2
2016-12-31,Japan,,2,1
2016-12-31,Kyrgyzstan,,2,3
2016-12-31,Maldives,,1,17
2016-12-31,Mozambique,,1,1
2016-12-31,Netherlands,,1,
2016-12-31,New Zealand,,2,
2016-12-31,Niger,,1,1
2016-12-31,Oman,,7,1
2016-12-31,Papua New Guinea,,2,
2016-12-31,Peru,,2,1
2016-12-31,Portugal,,1,
2016-12-31,Qatar,,2,1
2016-12-31,Seychelles,,3,2
2016-12-31,Slovakia,,1,
2016-12-31,St. Kitts and Nevis,,5,3
2016-12-31,St. Vincent and the Grenadines,,4,3
2016-12-31,Sudan (South),,6,2
2016-12-31,Sweden,,1,
2016-12-31,Taiwan,,1,
2016-12-31,Tajikistan,,6,1
2016-12-31,Turkmenistan,,1,2
2016-12-31,United Arab Emirates,,4,1
2016-12-31,Antigua and Barbuda,,,2
2016-12-31,"Bahamas, The",,,1
2016-12-31,Belize,,,1
2016-12-31,Bhutan,,,2
2016-12-31,Bolivia,,,5
2016-12-31,Cambodia,,,2
2016-12-31,Croatia,,,4
2016-12-31,Cyprus,,,1
2016-12-31,East Timor,,,2
2016-12-31,Former Yugoslavia,,,5
2016-12-31,France,,,1
2016-12-31,Laos,,,1
2016-12-31,Mauritania,,,2
2016-12-31,Swaziland,,,6
2017-03-31,Afghanistan,335,1002,1045
2017-03-31,Albania,222,800,1387
2017-03-31,Algeria,39,94,56
2017-03-31,Angola,8,20,44
2017-03-31,Armenia,6,20,10
2017-03-31,Bangladesh,206,924,570
2017-03-31,Belize,1,,
2017-03-31,Benin,1,6,4
2017-03-31,Bosnia and Herzegovina,1,1,2
2017-03-31,Botswana,1,8,15
2017-03-31,British overseas citizens,5,1,5
2017-03-31,Burkina,1,4,2
2017-03-31,Burma,12,16,54
2017-03-31,Burundi,1,3,12
2017-03-31,Cameroon,35,83,70
2017-03-31,Canada,1,6,2
2017-03-31,Central African Republic,2,,
2017-03-31,Chad,4,3,7
2017-03-31,China,135,360,198
2017-03-31,Colombia,5,5,14
2017-03-31,Congo,6,28,15
2017-03-31,Congo (Democratic Republic),46,81,95
2017-03-31,Cuba,1,2,2
2017-03-31,Djibouti,1,4,
2017-03-31,Egypt,59,254,134
2017-03-31,El Salvador,22,48,7
2017-03-31,Eritrea,87,556,333
2017-03-31,Estonia,1,,
2017-03-31,Ethiopia,44,179,120
2017-03-31,"Gambia, The",27,68,76
2017-03-31,Georgia,13,20,35
2017-03-31,Ghana,37,126,91
2017-03-31,Grenada,3,9,4
2017-03-31,Guatemala,1,5,4
2017-03-31,Guinea,6,8,25
2017-03-31,Guinea-Bissau,1,2,
2017-03-31,Honduras,1,2,1
2017-03-31,India,122,932,290
2017-03-31,Indonesia,9,2,
2017-03-31,Iran,319,1494,630
2017-03-31,Iraq,322,1547,850
2017-03-31,Israel,1,10,5
2017-03-31,Ivory Coast,10,25,28
2017-03-31,Jamaica,23,98,67
2017-03-31,Jordan,2,18,21
2017-03-31,Kazakhstan,7,10,4
2017-03-31,Kenya,20,47,61
2017-03-31,Korea (North),8,7,21
2017-03-31,Korea (South),3,2,1
2017-03-31,Kosovo,11,25,8
2017-03-31,Kuwait,6,47,47
2017-03-31,Latvia,2,,
2017-03-31,Lebanon,24,31,43
2017-03-31,Liberia,3,2,3
2017-03-31,Libya,161,364,283
2017-03-31,Lithuania,2,,3
2017-03-31,Macedonia,1,4,1
2017-03-31,Malawi,18,35,57
2017-03-31,Malaysia,9,34,21
2017-03-31,Maldives,3,,8
2017-03-31,Mali,1,6,2
2017-03-31,Mauritius,9,43,13
2017-03-31,Mexico,7,3,10
2017-03-31,Moldova,1,,
2017-03-31,Mongolia,1,15,7
2017-03-31,Morocco,11,51,32
2017-03-31,Namibia,1,27,14
2017-03-31,Nepal,12,91,30
2017-03-31,Nigeria,267,781,749
2017-03-31,Occupied Palestinian Territories,37,41,69
2017-03-31,Other and unknown,1,11,9
2017-03-31,Pakistan,526,1362,945
2017-03-31,Philippines,6,49,22
2017-03-31,Poland,3,,3
2017-03-31,Portugal,2,,
2017-03-31,Refugee,8,3,12
2017-03-31,Romania,1,2,1
2017-03-31,Russia,25,94,38
2017-03-31,Rwanda,4,8,9
2017-03-31,Saudi Arabia,5,18,24
2017-03-31,Senegal,6,22,22
2017-03-31,Seychelles,4,1,2
2017-03-31,Sierra Leone,22,25,41
2017-03-31,Singapore,1,3,12
2017-03-31,Somalia,65,159,142
2017-03-31,South Africa,14,36,28
2017-03-31,Spain,1,,
2017-03-31,Sri Lanka,526,538,626
2017-03-31,St. Kitts and Nevis,1,6,3
2017-03-31,St. Lucia,3,5,2
2017-03-31,Stateless,20,250,195
2017-03-31,Sudan,44,736,173
2017-03-31,Syria,48,332,371
2017-03-31,Taiwan,1,1,
2017-03-31,Tanzania,2,12,14
2017-03-31,Togo,2,3,2
2017-03-31,Trinidad and Tobago,3,24,4
2017-03-31,Tunisia,4,18,15
2017-03-31,Turkey,36,262,219
2017-03-31,Uganda,32,66,66
2017-03-31,Ukraine,21,61,29
2017-03-31,United States,5,12,17
2017-03-31,Venezuela,4,14,2
2017-03-31,Vietnam,54,460,433
2017-03-31,Yemen,4,60,33
2017-03-31,Zambia,3,11,16
2017-03-31,Zimbabwe,127,137,90
2017-03-31,Argentina,,1,1
2017-03-31,Australia,,3,
2017-03-31,Azerbaijan,,15,13
2017-03-31,Bahrain,,6,3
2017-03-31,Barbados,,2,7
2017-03-31,Belarus,,12,10
2017-03-31,Bermuda (British),,1,
2017-03-31,Bhutan,,1,2
2017-03-31,Bolivia,,1,4
2017-03-31,Brazil,,6,12
2017-03-31,Comoros,,7,
2017-03-31,Costa Rica,,1,
2017-03-31,Dominica,,3,1
2017-03-31,Ecuador,,1,1
2017-03-31,Equatorial Guinea,,1,1
2017-03-31,Fiji,,1,
2017-03-31,Guyana,,1,1
2017-03-31,Hong Kong,,2,2
2017-03-31,Lesotho,,1,
2017-03-31,Mozambique,,1,
2017-03-31,Niger,,1,1
2017-03-31,Oman,,13,7
2017-03-31,Peru,,1,1
2017-03-31,Serbia,,1,2
2017-03-31,St. Vincent and the Grenadines,,3,3
2017-03-31,Sudan (South),,3,2
2017-03-31,Tajikistan,,5,1
2017-03-31,Thailand,,6,25
2017-03-31,Turkmenistan,,1,2
2017-03-31,United Arab Emirates,,3,2
2017-03-31,Uzbekistan,,12,16
2017-03-31,Western Sahara,,1,
2017-03-31,Antigua and Barbuda,,,2
2017-03-31,"Bahamas, The",,,1
2017-03-31,Cambodia,,,2
2017-03-31,Croatia,,,4
2017-03-31,Cyprus,,,1
2017-03-31,East Timor,,,2
2017-03-31,France,,,1
2017-03-31,Greece,,,1
2017-03-31,Italy,,,1
2017-03-31,Japan,,,2
2017-03-31,Kyrgyzstan,,,5
2017-03-31,Laos,,,1
2017-03-31,Mauritania,,,2
2017-03-31,Qatar,,,1
2017-03-31,Swaziland,,,6
2017-03-31,Sweden,,,1
2017-06-30,Afghanistan,253,760,1228
2017-06-30,Albania,180,730,1687
2017-06-30,Algeria,33,87,69
2017-06-30,Angola,7,29,45
2017-06-30,Armenia,3,13,14
2017-06-30,Bahrain,1,3,3
2017-06-30,Bangladesh,153,962,662
2017-06-30,Belarus,1,6,14
2017-06-30,Bosnia and Herzegovina,2,,2
2017-06-30,Botswana,2,7,16
2017-06-30,Brazil,1,8,15
2017-06-30,British overseas citizens,6,3,7
2017-06-30,Burma,11,20,52
2017-06-30,Cameroon,31,106,74
2017-06-30,Canada,5,1,3
2017-06-30,Central African Republic,2,,
2017-06-30,Chad,2,3,6
2017-06-30,China,107,354,225
2017-06-30,Colombia,6,2,15
2017-06-30,Congo,8,17,15
2017-06-30,Congo (Democratic Republic),46,75,107
2017-06-30,Djibouti,1,,
2017-06-30,Dominica,1,3,1
2017-06-30,Dominican Republic,1,,
2017-06-30,Egypt,55,202,176
2017-06-30,Eritrea,59,416,387
2017-06-30,Ethiopia,25,120,192
2017-06-30,"Gambia, The",24,34,94
2017-06-30,Georgia,5,37,37
2017-06-30,Ghana,22,110,101
2017-06-30,Grenada,5,5,3
2017-06-30,Guinea,3,16,25
2017-06-30,Guinea-Bissau,1,2,
2017-06-30,Honduras,1,1,
2017-06-30,India,169,929,395
2017-06-30,Indonesia,10,6,
2017-06-30,Iran,281,1269,645
2017-06-30,Iraq,311,1308,1047
2017-06-30,Ireland,1,,
2017-06-30,Israel,2,9,6
2017-06-30,Ivory Coast,10,25,28
2017-06-30,Jamaica,21,64,69
2017-06-30,Jordan,6,7,28
2017-06-30,Kazakhstan,4,15,5
2017-06-30,Kenya,10,36,60
2017-06-30,Korea (North),6,8,22
2017-06-30,Korea (South),2,1,2
2017-06-30,Kosovo,8,22,14
2017-06-30,Kuwait,5,36,39
2017-06-30,Latvia,1,,
2017-06-30,Lebanon,15,41,36
2017-06-30,Liberia,1,1,4
2017-06-30,Libya,122,311,284
2017-06-30,Macedonia,1,4,1
2017-06-30,Malawi,10,47,51
2017-06-30,Malaysia,8,36,26
2017-06-30,Mauritius,7,43,23
2017-06-30,Mexico,3,6,9
2017-06-30,Mongolia,1,20,11
2017-06-30,Morocco,17,46,43
2017-06-30,Namibia,6,22,18
2017-06-30,Nepal,10,97,42
2017-06-30,Nigeria,210,765,870
2017-06-30,Occupied Palestinian Territories,26,62,68
2017-06-30,Other and unknown,1,14,8
2017-06-30,Pakistan,400,1473,1024
2017-06-30,Philippines,6,47,29
2017-06-30,Refugee,4,7,13
2017-06-30,Romania,1,,2
2017-06-30,Russia,17,84,39
2017-06-30,Rwanda,2,10,9
2017-06-30,Saudi Arabia,3,23,21
2017-06-30,Senegal,4,18,26
2017-06-30,Sierra Leone,18,20,48
2017-06-30,Singapore,1,1,12
2017-06-30,Somalia,50,142,155
2017-06-30,South Africa,13,43,32
2017-06-30,Spain,1,,
2017-06-30,Sri Lanka,410,536,688
2017-06-30,St. Lucia,3,10,1
2017-06-30,Stateless,30,122,230
2017-06-30,Sudan,41,706,323
2017-06-30,Syria,24,285,307
2017-06-30,Tanzania,6,16,14
2017-06-30,Togo,2,2,2
2017-06-30,Trinidad and Tobago,5,23,5
2017-06-30,Tunisia,8,11,16
2017-06-30,Turkey,34,211,314
2017-06-30,Turkmenistan,1,2,2
2017-06-30,Uganda,30,59,74
2017-06-30,Ukraine,8,89,31
2017-06-30,United States,6,19,17
2017-06-30,Venezuela,4,8,7
2017-06-30,Vietnam,55,508,528
2017-06-30,Yemen,1,85,33
2017-06-30,Zambia,1,10,18
2017-06-30,Zimbabwe,113,134,97
2017-06-30,Aruba,,1,
2017-06-30,Australia,,1,2
2017-06-30,Azerbaijan,,23,13
2017-06-30,"Bahamas, The",,1,1
2017-06-30,Barbados,,1,8
2017-06-30,Benin,,2,7
2017-06-30,Bhutan,,1,2
2017-06-30,Bolivia,,2,4
2017-06-30,Burkina,,3,3
2017-06-30,Burundi,,8,9
2017-06-30,Chile,,1,
2017-06-30,Comoros,,2,5
2017-06-30,Costa Rica,,1,
2017-06-30,Cuba,,3,2
2017-06-30,El Salvador,,33,15
2017-06-30,French Guiana,,1,
2017-06-30,Gabon,,5,
2017-06-30,Germany,,1,
2017-06-30,Guatemala,,3,4
2017-06-30,Guyana,,2,1
2017-06-30,Haiti,,1,
2017-06-30,Hong Kong,,2,2
2017-06-30,Hungary,,1,
2017-06-30,Kyrgyzstan,,2,5
2017-06-30,Lesotho,,2,
2017-06-30,Maldives,,1,8
2017-06-30,Mali,,2,4
2017-06-30,Mozambique,,2,
2017-06-30,Netherlands,,2,
2017-06-30,Oman,,15,7
2017-06-30,Papua New Guinea,,1,
2017-06-30,Peru,,1,1
2017-06-30,Qatar,,1,1
2017-06-30,Sao Tome and Principe,,1,
2017-06-30,Serbia,,2,2
2017-06-30,St. Kitts and Nevis,,1,7
2017-06-30,St. Vincent and the Grenadines,,3,3
2017-06-30,Sudan (South),,5,2
2017-06-30,Swaziland,,1,6
2017-06-30,Sweden,,1,1
2017-06-30,Taiwan,,1,
2017-06-30,Thailand,,8,26
2017-06-30,United Arab Emirates,,1,3
2017-06-30,Uzbekistan,,15,20
2017-06-30,Western Sahara,,1,
2017-06-30,Antigua and Barbuda,,,2
2017-06-30,Argentina,,,2
2017-06-30,Bermuda (British),,,1
2017-06-30,Cambodia,,,1
2017-06-30,Croatia,,,4
2017-06-30,Cyprus,,,1
2017-06-30,East Timor,,,2
2017-06-30,Ecuador,,,2
2017-06-30,Equatorial Guinea,,,2
2017-06-30,France,,,1
2017-06-30,Italy,,,3
2017-06-30,Japan,,,1
2017-06-30,Laos,,,1
2017-06-30,Lithuania,,,3
2017-06-30,Mauritania,,,2
2017-06-30,Niger,,,1
2017-06-30,Poland,,,3
2017-06-30,Seychelles,,,2
2017-06-30,Tajikistan,,,1
2017-09-30,Afghanistan,305,913,1169
2017-09-30,Albania,159,731,1935
2017-09-30,Algeria,37,89,79
2017-09-30,Angola,8,25,36
2017-09-30,Armenia,2,23,15
2017-09-30,Azerbaijan,2,21,13
2017-09-30,Bangladesh,249,831,787
2017-09-30,Benin,1,,8
2017-09-30,Bosnia and Herzegovina,1,,2
2017-09-30,Botswana,4,5,16
2017-09-30,Brazil,1,13,16
2017-09-30,British overseas citizens,4,10,10
2017-09-30,Burma,12,19,50
2017-09-30,Cameroon,36,86,78
2017-09-30,Canada,1,1,4
2017-09-30,Central African Republic,2,,
2017-09-30,Chad,3,2,8
2017-09-30,China,117,395,258
2017-09-30,Colombia,6,4,15
2017-09-30,Congo,8,9,18
2017-09-30,Congo (Democratic Republic),44,90,117
2017-09-30,Costa Rica,1,,
2017-09-30,Croatia,1,,4
2017-09-30,Czech Republic,1,,
2017-09-30,Djibouti,1,,
2017-09-30,Ecuador,2,1,2
2017-09-30,Egypt,58,183,192
2017-09-30,El Salvador,1,10,13
2017-09-30,Eritrea,47,453,326
2017-09-30,Ethiopia,27,178,178
2017-09-30,"Gambia, The",18,39,94
2017-09-30,Georgia,9,36,38
2017-09-30,Ghana,29,88,112
2017-09-30,Greece,1,,
2017-09-30,Grenada,3,7,4
2017-09-30,Guatemala,1,3,5
2017-09-30,Guinea,3,20,25
2017-09-30,Honduras,1,3,
2017-09-30,India,155,685,485
2017-09-30,Indonesia,11,16,1
2017-09-30,Iran,242,1249,631
2017-09-30,Iraq,275,1216,1019
2017-09-30,Israel,1,4,3
2017-09-30,Ivory Coast,17,13,34
2017-09-30,Jamaica,21,60,82
2017-09-30,Jordan,4,10,27
2017-09-30,Kazakhstan,5,14,13
2017-09-30,Kenya,14,29,67
2017-09-30,Korea (North),9,8,25
2017-09-30,Korea (South),1,4,2
2017-09-30,Kosovo,8,13,22
2017-09-30,Kuwait,6,48,39
2017-09-30,Latvia,1,,
2017-09-30,Lebanon,19,51,38
2017-09-30,Liberia,2,,3
2017-09-30,Libya,58,346,360
2017-09-30,Lithuania,1,,3
2017-09-30,Macedonia,1,,2
2017-09-30,Malawi,22,35,64
2017-09-30,Malaysia,4,34,23
2017-09-30,Mali,2,3,3
2017-09-30,Mauritius,9,27,20
2017-09-30,Mexico,1,17,11
2017-09-30,Morocco,11,38,45
2017-09-30,Namibia,4,38,19
2017-09-30,Nepal,5,75,58
2017-09-30,Nigeria,206,669,952
2017-09-30,Occupied Palestinian Territories,30,110,71
2017-09-30,Other and unknown,1,16,8
2017-09-30,Pakistan,507,1331,1144
2017-09-30,Peru,1,,
2017-09-30,Philippines,4,24,39
2017-09-30,Poland,2,,2
2017-09-30,Refugee,5,9,12
2017-09-30,Romania,1,,2
2017-09-30,Russia,13,89,46
2017-09-30,Rwanda,2,15,9
2017-09-30,Saudi Arabia,4,39,21
2017-09-30,Senegal,4,4,40
2017-09-30,Sierra Leone,18,22,47
2017-09-30,Singapore,1,,13
2017-09-30,Somalia,61,140,157
2017-09-30,South Africa,16,48,42
2017-09-30,Spain,1,,
2017-09-30,Sri Lanka,439,440,720
2017-09-30,Stateless,16,126,218
2017-09-30,Sudan,77,940,344
2017-09-30,Syria,15,353,266
2017-09-30,Tanzania,8,25,13
2017-09-30,Thailand,3,8,28
2017-09-30,Togo,2,,2
2017-09-30,Trinidad and Tobago,3,18,7
2017-09-30,Tunisia,4,12,17
2017-09-30,Turkey,44,241,357
2017-09-30,Turkmenistan,1,3,2
2017-09-30,Uganda,26,48,79
2017-09-30,Ukraine,22,87,41
2017-09-30,United States,5,19,22
2017-09-30,Uzbekistan,2,13,25
2017-09-30,Vietnam,64,471,614
2017-09-30,Western Sahara,1,2,
2017-09-30,Yemen,9,62,36
2017-09-30,Zambia,4,10,18
2017-09-30,Zimbabwe,126,96,99
2017-09-30,Antigua and Barbuda,,3,2
2017-09-30,Argentina,,1,2
2017-09-30,"Bahamas, The",,1,1
2017-09-30,Bahrain,,7,6
2017-09-30,Barbados,,2,7
2017-09-30,Belarus,,7,15
2017-09-30,Bolivia,,3,2
2017-09-30,Burkina,,4,4
2017-09-30,Burundi,,15,11
2017-09-30,Chile,,1,
2017-09-30,Cuba,,1,3
2017-09-30,Dominica,,1,1
2017-09-30,Dominican Republic,,2,
2017-09-30,Estonia,,1,
2017-09-30,Fiji,,2,
2017-09-30,Gabon,,5,
2017-09-30,Guinea-Bissau,,1,
2017-09-30,Guyana,,3,2
2017-09-30,Haiti,,4,
2017-09-30,Hungary,,2,
2017-09-30,Japan,,1,1
2017-09-30,Kyrgyzstan,,3,4
2017-09-30,Lesotho,,2,1
2017-09-30,Maldives,,2,7
2017-09-30,Moldova,,1,
2017-09-30,Mongolia,,14,11
2017-09-30,Mozambique,,3,1
2017-09-30,Netherlands,,2,
2017-09-30,Nicaragua,,1,
2017-09-30,Oman,,2,9
2017-09-30,Panama,,1,
2017-09-30,Papua New Guinea,,1,
2017-09-30,Qatar,,2,1
2017-09-30,Sao Tome and Principe,,1,
2017-09-30,Serbia,,2,3
2017-09-30,St. Lucia,,9,1
2017-09-30,St. Vincent and the Grenadines,,3,3
2017-09-30,Sudan (South),,16,2
2017-09-30,Swaziland,,2,6
2017-09-30,United Arab Emirates,,1,3
2017-09-30,Venezuela,,14,12
2017-09-30,Australia,,,2
2017-09-30,Bermuda (British),,,1
2017-09-30,Bhutan,,,2
2017-09-30,Cambodia,,,1
2017-09-30,Comoros,,,5
2017-09-30,Cyprus,,,1
2017-09-30,East Timor,,,2
2017-09-30,Equatorial Guinea,,,1
2017-09-30,Former Yugoslavia,,,1
2017-09-30,France,,,1
2017-09-30,Hong Kong,,,3
2017-09-30,Italy,,,3
2017-09-30,Laos,,,1
2017-09-30,Mauritania,,,2
2017-09-30,Niger,,,1
2017-09-30,Seychelles,,,3
2017-09-30,St. Kitts and Nevis,,,7
2017-09-30,Sweden,,,1
2017-09-30,Tajikistan,,,1
2017-12-31,Afghanistan,257,946,1144
2017-12-31,Albania,164,801,2026
2017-12-31,Algeria,35,99,67
2017-12-31,Angola,2,19,39
2017-12-31,Armenia,2,25,13
2017-12-31,Azerbaijan,1,39,18
2017-12-31,Bangladesh,211,751,724
2017-12-31,Belarus,2,7,15
2017-12-31,Bolivia,1,4,2
2017-12-31,Bosnia and Herzegovina,1,,2
2017-12-31,Botswana,1,8,15
2017-12-31,Brazil,1,14,21
2017-12-31,British overseas citizens,4,9,15
2017-12-31,Burma,9,31,50
2017-12-31,Burundi,5,8,10
2017-12-31,Cameroon,22,111,76
2017-12-31,Canada,2,1,4
2017-12-31,Chad,2,3,4
2017-12-31,China,86,427,260
2017-12-31,Colombia,5,4,16
2017-12-31,Congo,6,16,14
2017-12-31,Congo (Democratic Republic),24,103,114
2017-12-31,Czech Republic,1,,
2017-12-31,Djibouti,1,2,
2017-12-31,Egypt,49,184,173
2017-12-31,El Salvador,1,31,13
2017-12-31,Eritrea,40,608,302
2017-12-31,Ethiopia,31,305,158
2017-12-31,"Gambia, The",8,43,85
2017-12-31,Georgia,6,27,41
2017-12-31,Ghana,16,101,116
2017-12-31,Grenada,3,6,6
2017-12-31,Guatemala,1,3,6
2017-12-31,Guinea,1,19,28
2017-12-31,Honduras,1,5,
2017-12-31,India,140,507,584
2017-12-31,Indonesia,7,21,4
2017-12-31,Iran,218,1384,585
2017-12-31,Iraq,268,1649,951
2017-12-31,Israel,1,3,2
2017-12-31,Ivory Coast,6,22,33
2017-12-31,Jamaica,13,74,73
2017-12-31,Jordan,4,12,23
2017-12-31,Kazakhstan,4,15,7
2017-12-31,Kenya,8,56,61
2017-12-31,Korea (North),6,8,22
2017-12-31,Korea (South),2,6,1
2017-12-31,Kosovo,11,8,22
2017-12-31,Kuwait,6,127,26
2017-12-31,Latvia,1,,
2017-12-31,Lebanon,11,41,40
2017-12-31,Liberia,1,1,2
2017-12-31,Libya,30,544,416
2017-12-31,Lithuania,3,1,3
2017-12-31,Macedonia,1,,2
2017-12-31,Malawi,8,32,62
2017-12-31,Malaysia,6,66,26
2017-12-31,Mauritius,6,29,26
2017-12-31,Mexico,4,15,10
2017-12-31,Mongolia,5,3,20
2017-12-31,Morocco,8,60,47
2017-12-31,Mozambique,1,4,1
2017-12-31,Namibia,2,81,18
2017-12-31,Nepal,12,53,70
2017-12-31,Netherlands,1,,
2017-12-31,Nigeria,180,623,946
2017-12-31,Occupied Palestinian Territories,26,135,77
2017-12-31,Pakistan,378,1284,1096
2017-12-31,Philippines,6,27,39
2017-12-31,Qatar,1,,1
2017-12-31,Refugee,2,6,12
2017-12-31,Russia,8,106,53
2017-12-31,Rwanda,1,19,8
2017-12-31,Saudi Arabia,1,31,23
2017-12-31,Senegal,2,10,40
2017-12-31,Sierra Leone,10,25,46
2017-12-31,Singapore,1,1,12
2017-12-31,Somalia,40,166,141
2017-12-31,South Africa,8,39,39
2017-12-31,Spain,1,,
2017-12-31,Sri Lanka,343,358,700
2017-12-31,St. Lucia,3,9,4
2017-12-31,Stateless,49,199,151
2017-12-31,Sudan,96,907,412
2017-12-31,Syria,21,342,211
2017-12-31,Tanzania,4,20,15
2017-12-31,Thailand,3,10,25
2017-12-31,Togo,1,4,2
2017-12-31,Trinidad and Tobago,2,25,5
2017-12-31,Tunisia,2,21,14
2017-12-31,Turkey,27,284,389
2017-12-31,Uganda,25,65,73
2017-12-31,Ukraine,19,74,44
2017-12-31,United States,9,18,25
2017-12-31,Venezuela,2,15,6
2017-12-31,Vietnam,44,488,667
2017-12-31,Yemen,2,80,42
2017-12-31,Zambia,1,7,18
2017-12-31,Zimbabwe,98,92,97
2017-12-31,Antigua and Barbuda,,3,2
2017-12-31,Argentina,,1,2
2017-12-31,Australia,,1,2
2017-12-31,Bahrain,,12,6
2017-12-31,Barbados,,4,7
2017-12-31,Benin,,6,8
2017-12-31,Burkina,,2,6
2017-12-31,Comoros,,3,5
2017-12-31,Cyprus (Northern part of),,1,
2017-12-31,Dominica,,4,1
2017-12-31,Dominican Republic,,1,
2017-12-31,East Timor,,3,2
2017-12-31,Ecuador,,2,2
2017-12-31,Fiji,,1,
2017-12-31,Guyana,,4,2
2017-12-31,Haiti,,8,
2017-12-31,Hong Kong,,6,3
2017-12-31,Italy,,1,3
2017-12-31,Japan,,1,1
2017-12-31,Kyrgyzstan,,7,4
2017-12-31,Lesotho,,1,2
2017-12-31,Maldives,,1,6
2017-12-31,Mali,,6,2
2017-12-31,Nicaragua,,1,
2017-12-31,Niger,,1,
2017-12-31,Oman,,3,8
2017-12-31,Other and unknown,,6,7
2017-12-31,Panama,,1,
2017-12-31,Poland,,1,2
2017-12-31,Serbia,,2,3
2017-12-31,St. Vincent and the Grenadines,,7,3
2017-12-31,Sudan (South),,24,3
2017-12-31,Swaziland,,2,5
2017-12-31,Turkmenistan,,2,2
2017-12-31,Uzbekistan,,13,24
2017-12-31,Western Sahara,,2,
2017-12-31,"Bahamas, The",,,1
2017-12-31,Bhutan,,,1
2017-12-31,Cambodia,,,1
2017-12-31,Croatia,,,4
2017-12-31,Cuba,,,2
2017-12-31,Cyprus,,,1
2017-12-31,Equatorial Guinea,,,1
2017-12-31,Former Yugoslavia,,,1
2017-12-31,France,,,1
2017-12-31,Gabon,,,1
2017-12-31,Hungary,,,1
2017-12-31,Laos,,,1
2017-12-31,Mauritania,,,1
2017-12-31,Romania,,,2
